Дата,Категория,Продукт,Цена,Количество,Выручка,Регион,Тип клиента
2023-06-10,Спорт,Гантели,48675,10,486750,Екатеринбург,Новый
2023-02-19,Дом и сад,Декор,23695,10,236950,СПб,Новый
2024-07-08,Одежда,Куртка,26416,7,184912,Москва,Постоянный
2024-03-03,Книги,Роман,62967,6,377802,Екатеринбург,Новый
2023-03-12,Электроника,Смартфон,94437,9,849933,Казань,Новый
2024-01-04,Книги,Детектив,78199,3,234597,Новосибирск,Постоянный
2023-04-14,Дом и сад,Инструменты,28648,1,28648,СПб,Новый
2024-07-04,Книги,Детектив,57070,5,285350,Екатеринбург,Новый
2023-01-07,Дом и сад,Посуда,70858,6,425148,Екатеринбург,Постоянный
2023-06-06,Одежда,Куртка,63424,9,570816,Москва,Новый
2024-10-07,Электроника,Умные часы,55785,6,334710,Казань,Постоянный
2023-05-20,Книги,Фантастика,65863,4,263452,СПб,Новый
2023-10-05,Книги,Роман,1341,3,4023,Новосибирск,Новый
2024-08-08,Книги,Роман,85967,3,257901,Казань,Постоянный
2024-01-20,Книги,Учебник,76911,10,769110,Екатеринбург,Постоянный
2023-04-27,Одежда,Платье,45756,7,320292,СПб,Постоянный
2023-07-08,Спорт,Мяч,6269,1,6269,СПб,Новый
2023-05-18,Дом и сад,Декор,30261,9,272349,Екатеринбург,Постоянный
2024-02-04,Одежда,Куртка,25181,5,125905,Новосибирск,Новый
2024-05-02,Одежда,Джинсы,81286,9,731574,СПб,Новый
2023-04-27,Электроника,Планшет,2157,10,21570,Новосибирск,Постоянный
2023-08-09,Электроника,Смартфон,53394,7,373758,СПб,Постоянный
2023-01-13,Спорт,Мяч,57364,3,172092,Москва,Новый
2024-09-03,Одежда,Джинсы,59528,4,238112,Москва,Постоянный
2023-06-16,Электроника,Смартфон,97905,2,195810,Москва,Постоянный
2023-08-15,Электроника,Наушники,65330,1,65330,Москва,Новый
2023-01-11,Спорт,Коврик,44462,9,400158,Казань,Постоянный
2024-07-12,Дом и сад,Текстиль,99582,10,995820,Новосибирск,Постоянный
2024-01-11,Спорт,Коврик,93651,2,187302,Казань,Постоянный
2024-04-20,Одежда,Футболка,59325,6,355950,Екатеринбург,Постоянный
2024-07-22,Спорт,Коврик,66798,6,400788,Екатеринбург,Постоянный
2023-10-28,Дом и сад,Текстиль,32889,10,328890,СПб,Постоянный
2024-11-05,Электроника,Смартфон,49452,7,346164,Москва,Постоянный
2024-07-04,Спорт,Коврик,20452,7,143164,Екатеринбург,Постоянный
2023-02-02,Электроника,Планшет,94159,5,470795,СПб,Новый
2023-08-03,Одежда,Джинсы,80616,3,241848,Москва,Постоянный
2023-02-07,Книги,Учебник,88010,1,88010,СПб,Новый
2024-09-28,Книги,Детектив,83480,6,500880,Москва,Постоянный
2023-09-05,Книги,Биография,24427,7,170989,Казань,Новый
2023-10-07,Дом и сад,Мебель,63916,4,255664,Новосибирск,Новый
2023-06-19,Дом и сад,Декор,60961,7,426727,Москва,Новый
2023-05-18,Дом и сад,Текстиль,4722,4,18888,Казань,Новый
2023-02-03,Спорт,Мяч,27662,2,55324,Екатеринбург,Новый
2023-03-17,Спорт,Форма,74097,6,444582,Новосибирск,Постоянный
2023-03-21,Дом и сад,Текстиль,26920,10,269200,СПб,Постоянный
2024-05-12,Электроника,Планшет,26465,5,132325,Казань,Постоянный
2024-06-16,Электроника,Наушники,86634,7,606438,СПб,Постоянный
2023-01-16,Дом и сад,Посуда,15886,4,63544,Екатеринбург,Постоянный
2023-02-26,Электроника,Наушники,56452,2,112904,Москва,Новый
2023-06-06,Электроника,Смартфон,1931,4,7724,Москва,Постоянный
2024-06-13,Дом и сад,Инструменты,96212,10,962120,Новосибирск,Постоянный
2023-08-10,Книги,Учебник,82379,5,411895,Екатеринбург,Постоянный
2023-10-07,Одежда,Кроссовки,50667,5,253335,Екатеринбург,Постоянный
2024-06-03,Спорт,Форма,72030,1,72030,Казань,Новый
2024-07-10,Одежда,Кроссовки,73487,8,587896,Екатеринбург,Новый
2023-09-13,Одежда,Куртка,21652,2,43304,Казань,Новый
2024-01-13,Дом и сад,Декор,63674,1,63674,Москва,Постоянный
2023-01-19,Одежда,Платье,15360,1,15360,Новосибирск,Постоянный
2023-05-08,Спорт,Гантели,29033,6,174198,СПб,Новый
2024-06-20,Одежда,Джинсы,86394,6,518364,Екатеринбург,Новый
2023-05-16,Дом и сад,Текстиль,55948,2,111896,Казань,Новый
2023-09-13,Спорт,Гантели,81712,1,81712,СПб,Постоянный
2023-10-08,Книги,Детектив,66990,7,468930,Новосибирск,Новый
2024-05-01,Электроника,Смартфон,61346,4,245384,Казань,Постоянный
2024-10-25,Одежда,Куртка,62197,2,124394,СПб,Новый
2024-03-17,Одежда,Джинсы,40485,3,121455,Екатеринбург,Новый
2023-09-11,Дом и сад,Текстиль,17582,4,70328,Новосибирск,Постоянный
2023-05-11,Спорт,Форма,22379,4,89516,Казань,Постоянный
2023-08-01,Книги,Учебник,52786,10,527860,Новосибирск,Новый
2023-01-23,Книги,Роман,31281,3,93843,Новосибирск,Новый
2024-02-23,Электроника,Ноутбук,42672,7,298704,СПб,Постоянный
2023-11-24,Спорт,Форма,37193,9,334737,Екатеринбург,Новый
2023-06-16,Дом и сад,Декор,79105,9,711945,СПб,Новый
2024-06-06,Спорт,Коврик,20231,4,80924,СПб,Новый
2023-11-30,Одежда,Кроссовки,64948,1,64948,Москва,Постоянный
2023-05-01,Книги,Детектив,39579,3,118737,Екатеринбург,Новый
2024-12-23,Дом и сад,Инструменты,65325,1,65325,Екатеринбург,Новый
2023-02-18,Книги,Биография,54595,7,382165,Казань,Новый
2024-01-20,Спорт,Коврик,20327,7,142289,СПб,Новый
2023-11-12,Спорт,Коврик,12376,7,86632,СПб,Новый
2023-01-09,Дом и сад,Посуда,31672,4,126688,Москва,Новый
2024-04-25,Электроника,Наушники,41444,10,414440,Екатеринбург,Новый
2024-05-23,Электроника,Умные часы,55505,9,499545,Москва,Постоянный
2023-01-18,Книги,Учебник,53636,10,536360,Новосибирск,Постоянный
2023-07-05,Спорт,Гантели,39687,4,158748,Новосибирск,Новый
2023-04-15,Книги,Фантастика,4734,7,33138,Казань,Новый
2024-05-21,Дом и сад,Текстиль,33282,1,33282,СПб,Новый
2024-12-08,Электроника,Умные часы,53936,3,161808,Казань,Постоянный
2023-07-21,Дом и сад,Декор,17301,1,17301,Екатеринбург,Постоянный
2023-09-27,Спорт,Велосипед,18812,3,56436,СПб,Постоянный
2024-06-09,Одежда,Футболка,79566,4,318264,Москва,Постоянный
2023-11-10,Спорт,Коврик,45163,8,361304,Новосибирск,Постоянный
2024-08-09,Одежда,Футболка,61065,6,366390,Новосибирск,Новый
2023-02-16,Электроника,Планшет,68568,10,685680,Казань,Новый
2023-01-23,Дом и сад,Инструменты,45789,7,320523,Москва,Постоянный
2023-11-07,Дом и сад,Мебель,86189,7,603323,СПб,Новый
2023-06-04,Одежда,Джинсы,19629,1,19629,СПб,Постоянный
2024-08-18,Книги,Детектив,4190,8,33520,Новосибирск,Постоянный
2023-01-09,Дом и сад,Декор,37664,2,75328,Новосибирск,Новый
2023-06-12,Одежда,Футболка,80493,2,160986,СПб,Постоянный
2023-05-03,Книги,Фантастика,98553,8,788424,Новосибирск,Постоянный
2024-07-10,Книги,Фантастика,65970,3,197910,Новосибирск,Постоянный
2024-11-27,Одежда,Кроссовки,12786,3,38358,Казань,Постоянный
2023-03-19,Книги,Фантастика,45346,6,272076,Казань,Постоянный
2024-08-19,Дом и сад,Посуда,17745,5,88725,Екатеринбург,Постоянный
2024-06-24,Электроника,Смартфон,56091,5,280455,СПб,Новый
2024-01-15,Спорт,Форма,84520,6,507120,Казань,Постоянный
2024-09-30,Книги,Учебник,65435,9,588915,СПб,Новый
2023-04-24,Электроника,Умные часы,78839,2,157678,СПб,Постоянный
2023-02-24,Электроника,Планшет,53217,3,159651,Екатеринбург,Новый
2024-03-20,Дом и сад,Посуда,56497,10,564970,Екатеринбург,Постоянный
2023-09-03,Одежда,Футболка,51152,2,102304,Новосибирск,Постоянный
2023-03-30,Книги,Биография,48099,6,288594,Екатеринбург,Новый
2023-04-06,Электроника,Ноутбук,31786,9,286074,Москва,Постоянный
2023-09-03,Дом и сад,Инструменты,88590,8,708720,Москва,Новый
2024-12-15,Книги,Биография,26824,6,160944,Екатеринбург,Новый
2023-04-29,Книги,Биография,56704,9,510336,Москва,Постоянный
2024-02-12,Дом и сад,Посуда,50071,4,200284,Москва,Новый
2023-08-01,Книги,Детектив,39892,1,39892,СПб,Новый
2024-08-26,Книги,Фантастика,36965,6,221790,СПб,Новый
2023-12-28,Книги,Биография,44164,5,220820,СПб,Новый
2024-12-27,Дом и сад,Декор,23141,4,92564,Новосибирск,Постоянный
2023-10-23,Дом и сад,Инструменты,26100,1,26100,Казань,Новый
2023-02-01,Одежда,Платье,38429,7,269003,Москва,Новый
2023-03-17,Книги,Биография,56621,3,169863,СПб,Новый
2023-03-11,Электроника,Умные часы,63439,7,444073,СПб,Новый
2023-01-25,Одежда,Платье,52906,1,52906,СПб,Новый
2023-08-18,Дом и сад,Инструменты,9796,3,29388,Москва,Новый
2023-07-12,Книги,Фантастика,89575,8,716600,Екатеринбург,Новый
2023-09-07,Дом и сад,Текстиль,23775,2,47550,Екатеринбург,Новый
2024-08-04,Книги,Учебник,48883,8,391064,Казань,Постоянный
2024-02-24,Электроника,Умные часы,1277,5,6385,Казань,Новый
2024-01-29,Книги,Учебник,93037,2,186074,СПб,Постоянный
2023-11-28,Спорт,Гантели,23711,6,142266,Казань,Постоянный
2024-06-12,Книги,Биография,52888,1,52888,Екатеринбург,Постоянный
2024-03-21,Дом и сад,Декор,77696,9,699264,Екатеринбург,Постоянный
2024-11-23,Дом и сад,Инструменты,6153,7,43071,Новосибирск,Постоянный
2024-03-22,Электроника,Ноутбук,81611,3,244833,Казань,Новый
2023-10-03,Одежда,Джинсы,609,6,3654,СПб,Постоянный
2023-05-15,Одежда,Куртка,27854,1,27854,Казань,Новый
2024-12-11,Дом и сад,Текстиль,14516,5,72580,Екатеринбург,Новый
2024-06-15,Дом и сад,Декор,63779,5,318895,Екатеринбург,Постоянный
2024-06-09,Электроника,Умные часы,89240,6,535440,Екатеринбург,Новый
2024-08-28,Одежда,Куртка,17950,9,161550,Казань,Новый
2024-03-06,Одежда,Джинсы,22424,7,156968,СПб,Постоянный
2024-01-13,Книги,Учебник,12236,3,36708,Новосибирск,Новый
2024-04-08,Спорт,Форма,67124,5,335620,Москва,Новый
2023-02-24,Одежда,Кроссовки,67239,8,537912,Екатеринбург,Новый
2023-02-05,Дом и сад,Посуда,90089,8,720712,Екатеринбург,Постоянный
2024-09-30,Книги,Роман,68632,1,68632,Москва,Новый
2024-05-14,Электроника,Смартфон,32400,8,259200,СПб,Постоянный
2024-07-26,Одежда,Кроссовки,51262,3,153786,Казань,Новый
2024-05-26,Дом и сад,Инструменты,26965,7,188755,Новосибирск,Новый
2024-05-20,Дом и сад,Инструменты,78789,4,315156,Москва,Постоянный
2024-10-01,Книги,Фантастика,6955,3,20865,СПб,Новый
2023-07-17,Одежда,Кроссовки,5418,7,37926,Москва,Новый
2024-09-22,Книги,Учебник,65753,2,131506,Казань,Новый
2023-03-17,Спорт,Велосипед,59329,5,296645,СПб,Новый
2023-02-18,Спорт,Велосипед,20688,9,186192,Екатеринбург,Новый
2023-10-26,Электроника,Наушники,10469,1,10469,Казань,Новый
2023-02-06,Книги,Биография,82918,5,414590,Екатеринбург,Новый
2024-09-26,Спорт,Форма,25505,1,25505,Москва,Постоянный
2023-03-28,Спорт,Гантели,23859,3,71577,Екатеринбург,Постоянный
2024-03-21,Электроника,Ноутбук,51858,7,363006,Казань,Постоянный
2023-02-12,Одежда,Куртка,75013,9,675117,Новосибирск,Постоянный
2024-06-02,Одежда,Футболка,31973,6,191838,Екатеринбург,Новый
2024-03-28,Одежда,Футболка,41998,10,419980,Москва,Постоянный
2023-03-07,Одежда,Джинсы,9291,9,83619,СПб,Новый
2023-11-21,Спорт,Мяч,62154,7,435078,Казань,Новый
2024-08-12,Спорт,Мяч,87418,5,437090,Казань,Новый
2024-10-27,Электроника,Умные часы,75950,5,379750,СПб,Новый
2024-04-06,Дом и сад,Мебель,26400,10,264000,СПб,Постоянный
2024-08-14,Дом и сад,Текстиль,76679,10,766790,Екатеринбург,Новый
2024-12-19,Спорт,Гантели,2672,10,26720,Казань,Постоянный
2024-03-25,Книги,Фантастика,70456,9,634104,Екатеринбург,Новый
2024-11-09,Одежда,Куртка,42933,10,429330,СПб,Постоянный
2024-11-03,Спорт,Мяч,20772,3,62316,Казань,Постоянный
2023-11-20,Дом и сад,Посуда,30588,1,30588,Екатеринбург,Новый
2024-08-06,Дом и сад,Инструменты,23243,8,185944,Екатеринбург,Новый
2024-10-14,Книги,Детектив,36935,9,332415,Новосибирск,Новый
2024-01-21,Спорт,Коврик,67089,6,402534,Казань,Новый
2023-10-23,Спорт,Форма,23101,7,161707,Казань,Новый
2024-06-06,Дом и сад,Текстиль,49563,3,148689,Екатеринбург,Новый
2024-03-19,Книги,Учебник,54345,9,489105,Казань,Новый
2023-08-12,Одежда,Футболка,27482,6,164892,Москва,Постоянный
2023-06-25,Одежда,Джинсы,99217,9,892953,Казань,Постоянный
2024-12-07,Дом и сад,Посуда,78129,10,781290,Москва,Новый
2024-06-02,Спорт,Форма,15153,9,136377,Новосибирск,Постоянный
2024-06-30,Одежда,Джинсы,39485,2,78970,Москва,Новый
2023-08-03,Дом и сад,Посуда,52338,1,52338,Екатеринбург,Новый
2023-10-06,Электроника,Ноутбук,3285,2,6570,Екатеринбург,Постоянный
2023-07-10,Дом и сад,Посуда,44297,3,132891,Москва,Новый
2024-10-16,Спорт,Гантели,82215,9,739935,Новосибирск,Новый
2024-02-14,Книги,Биография,17345,9,156105,Казань,Новый
2023-05-31,Электроника,Планшет,23904,5,119520,Москва,Постоянный
2024-12-14,Электроника,Ноутбук,52946,2,105892,Казань,Постоянный
2023-08-19,Спорт,Форма,42931,4,171724,Новосибирск,Новый
2023-11-23,Электроника,Планшет,60934,5,304670,Екатеринбург,Постоянный
2023-07-11,Электроника,Умные часы,79194,6,475164,Москва,Постоянный
2024-12-04,Одежда,Футболка,68109,2,136218,Екатеринбург,Постоянный
2024-12-20,Одежда,Джинсы,14712,1,14712,Екатеринбург,Постоянный
2024-02-26,Электроника,Смартфон,29084,7,203588,Новосибирск,Новый
2024-10-29,Дом и сад,Инструменты,83240,9,749160,Екатеринбург,Новый
2024-09-03,Книги,Фантастика,69655,1,69655,Новосибирск,Постоянный
2023-11-10,Дом и сад,Мебель,13112,6,78672,Казань,Новый
2023-04-23,Книги,Фантастика,31784,9,286056,Москва,Новый
2024-07-15,Дом и сад,Декор,54900,4,219600,СПб,Постоянный
2023-05-23,Спорт,Велосипед,43552,2,87104,Екатеринбург,Новый
2024-09-07,Электроника,Смартфон,39366,8,314928,Екатеринбург,Новый
2023-04-17,Одежда,Платье,37566,1,37566,СПб,Постоянный
2023-10-21,Дом и сад,Посуда,38521,9,346689,Казань,Новый
2024-12-30,Книги,Детектив,2154,2,4308,Новосибирск,Новый
2023-07-10,Одежда,Платье,70038,6,420228,Екатеринбург,Постоянный
2024-07-17,Одежда,Платье,73543,3,220629,Казань,Постоянный
2024-10-11,Спорт,Коврик,92475,2,184950,Новосибирск,Новый
2023-04-30,Спорт,Форма,25756,6,154536,Москва,Новый
2023-07-19,Книги,Учебник,29716,1,29716,СПб,Новый
2023-06-10,Книги,Биография,77613,8,620904,Новосибирск,Новый
2023-05-05,Книги,Биография,59850,10,598500,Новосибирск,Постоянный
2023-11-14,Дом и сад,Мебель,99642,7,697494,Екатеринбург,Постоянный
2024-07-11,Одежда,Джинсы,57760,7,404320,Москва,Новый
2024-01-20,Одежда,Платье,26503,3,79509,Екатеринбург,Постоянный
2023-10-29,Электроника,Ноутбук,63973,1,63973,Казань,Постоянный
2023-12-05,Одежда,Футболка,61859,9,556731,СПб,Новый
2024-08-08,Электроника,Умные часы,4595,9,41355,Казань,Постоянный
2024-11-11,Книги,Роман,8367,5,41835,Москва,Новый
2024-03-26,Книги,Детектив,8461,1,8461,Москва,Новый
2023-08-12,Одежда,Платье,61953,9,557577,Новосибирск,Постоянный
2023-08-17,Книги,Учебник,27655,1,27655,СПб,Новый
2024-03-02,Электроника,Умные часы,18355,10,183550,Казань,Новый
2023-02-06,Спорт,Велосипед,95476,7,668332,Екатеринбург,Новый
2023-11-11,Спорт,Велосипед,34562,4,138248,Новосибирск,Новый
2024-07-09,Книги,Фантастика,16369,5,81845,Новосибирск,Постоянный
2024-12-01,Одежда,Платье,46816,3,140448,Казань,Постоянный
2023-01-05,Спорт,Гантели,17464,8,139712,Москва,Новый
2024-03-01,Электроника,Наушники,43190,7,302330,Екатеринбург,Постоянный
2023-08-17,Дом и сад,Мебель,12797,3,38391,Новосибирск,Новый
2023-09-14,Электроника,Ноутбук,50193,1,50193,СПб,Новый
2024-04-10,Спорт,Форма,96019,8,768152,Екатеринбург,Новый
2023-01-02,Книги,Биография,74470,10,744700,Москва,Постоянный
2024-07-20,Книги,Учебник,71035,1,71035,Казань,Постоянный
2024-10-20,Электроника,Наушники,76048,9,684432,СПб,Постоянный
2024-11-14,Спорт,Мяч,76981,6,461886,СПб,Постоянный
2023-11-02,Книги,Фантастика,64573,1,64573,СПб,Новый
2023-02-25,Одежда,Кроссовки,80481,1,80481,Москва,Постоянный
2023-03-24,Спорт,Мяч,14309,5,71545,Екатеринбург,Постоянный
2024-04-22,Дом и сад,Инструменты,73239,5,366195,СПб,Постоянный
2023-02-14,Электроника,Планшет,2881,4,11524,СПб,Постоянный
2024-01-02,Одежда,Джинсы,59938,10,599380,СПб,Новый
2023-07-06,Спорт,Форма,73248,2,146496,Новосибирск,Новый
2023-03-06,Книги,Роман,97497,6,584982,Москва,Новый
2023-02-03,Дом и сад,Декор,24967,10,249670,Москва,Новый
2023-01-17,Книги,Учебник,69730,2,139460,Новосибирск,Постоянный
2023-04-25,Электроника,Смартфон,34431,10,344310,Новосибирск,Новый
2023-07-07,Книги,Детектив,98550,4,394200,Екатеринбург,Постоянный
2024-01-31,Одежда,Футболка,56977,2,113954,СПб,Постоянный
2024-05-18,Книги,Детектив,51943,6,311658,Екатеринбург,Новый
2024-10-16,Дом и сад,Декор,77122,8,616976,Казань,Постоянный
2024-05-17,Спорт,Гантели,18503,3,55509,Казань,Новый
2024-12-08,Книги,Учебник,78389,2,156778,Екатеринбург,Постоянный
2023-09-17,Электроника,Смартфон,94497,5,472485,Екатеринбург,Новый
2024-01-09,Одежда,Футболка,97979,2,195958,Казань,Новый
2023-10-29,Книги,Учебник,63106,3,189318,СПб,Постоянный
2023-10-03,Электроника,Ноутбук,60593,7,424151,Казань,Новый
2024-01-20,Одежда,Джинсы,72252,9,650268,Новосибирск,Постоянный
2023-11-29,Дом и сад,Текстиль,45151,4,180604,СПб,Постоянный
2024-03-27,Дом и сад,Декор,55875,7,391125,Казань,Новый
2023-03-24,Книги,Роман,81044,6,486264,Казань,Постоянный
2023-06-15,Одежда,Платье,19673,9,177057,СПб,Новый
2024-05-31,Спорт,Мяч,93029,4,372116,Москва,Постоянный
2024-11-08,Одежда,Куртка,854,9,7686,Екатеринбург,Новый
2024-02-09,Электроника,Умные часы,69935,5,349675,Екатеринбург,Постоянный
2023-10-02,Дом и сад,Декор,54295,10,542950,Казань,Новый
2024-12-05,Дом и сад,Декор,23120,2,46240,Екатеринбург,Постоянный
2023-06-23,Одежда,Куртка,14325,6,85950,Казань,Новый
2023-11-14,Одежда,Кроссовки,88868,3,266604,Новосибирск,Постоянный
2024-02-13,Спорт,Гантели,36074,3,108222,Екатеринбург,Новый
2023-02-02,Дом и сад,Текстиль,52947,7,370629,СПб,Постоянный
2023-11-23,Дом и сад,Инструменты,73054,3,219162,СПб,Постоянный
2024-11-26,Дом и сад,Посуда,97788,5,488940,Москва,Постоянный
2024-08-02,Спорт,Велосипед,72962,5,364810,Москва,Постоянный
2024-04-14,Электроника,Смартфон,85260,8,682080,Новосибирск,Постоянный
2024-01-13,Одежда,Кроссовки,49560,7,346920,Москва,Новый
2024-08-23,Спорт,Форма,98317,8,786536,СПб,Постоянный
2024-06-04,Одежда,Куртка,3178,1,3178,Екатеринбург,Новый
2023-01-04,Дом и сад,Мебель,99938,3,299814,Казань,Постоянный
2023-02-01,Книги,Биография,35225,7,246575,Новосибирск,Постоянный
2024-11-08,Дом и сад,Мебель,96704,10,967040,Новосибирск,Постоянный
2024-03-24,Одежда,Платье,97195,7,680365,Новосибирск,Новый
2024-03-07,Книги,Фантастика,68898,5,344490,Казань,Новый
2023-01-18,Книги,Фантастика,51737,4,206948,Екатеринбург,Новый
2024-06-06,Дом и сад,Декор,78562,10,785620,Москва,Постоянный
2024-06-04,Спорт,Мяч,91625,1,91625,Новосибирск,Новый
2024-02-19,Дом и сад,Посуда,12685,1,12685,Москва,Новый
2023-01-26,Дом и сад,Декор,20211,10,202110,Казань,Новый
2023-09-29,Одежда,Куртка,47353,5,236765,СПб,Постоянный
2024-12-14,Одежда,Платье,32541,9,292869,Казань,Постоянный
2024-06-30,Дом и сад,Декор,11129,10,111290,Екатеринбург,Новый
2024-01-16,Спорт,Форма,87971,3,263913,Новосибирск,Постоянный
2024-02-11,Электроника,Смартфон,2125,3,6375,СПб,Постоянный
2024-10-29,Электроника,Умные часы,71203,1,71203,Казань,Постоянный
2024-09-08,Электроника,Наушники,7261,2,14522,Москва,Новый
2023-06-06,Одежда,Платье,83735,3,251205,Новосибирск,Постоянный
2023-09-27,Книги,Фантастика,56340,7,394380,Казань,Новый
2024-03-08,Книги,Фантастика,12580,1,12580,Москва,Постоянный
2023-08-05,Электроника,Ноутбук,60196,7,421372,Новосибирск,Постоянный
2024-02-08,Электроника,Планшет,29826,3,89478,Москва,Постоянный
2023-07-29,Электроника,Наушники,7339,7,51373,Екатеринбург,Постоянный
2024-02-26,Одежда,Платье,60880,4,243520,Казань,Новый
2024-10-19,Дом и сад,Мебель,65967,7,461769,Новосибирск,Новый
2023-11-13,Электроника,Планшет,10981,9,98829,Москва,Новый
2023-11-25,Электроника,Ноутбук,72557,1,72557,Новосибирск,Новый
2023-02-11,Книги,Фантастика,78008,3,234024,Екатеринбург,Постоянный
2023-01-20,Дом и сад,Декор,45795,8,366360,СПб,Новый
2023-10-06,Дом и сад,Декор,73901,5,369505,Казань,Постоянный
2023-06-02,Одежда,Джинсы,12849,6,77094,Новосибирск,Новый
2024-04-16,Одежда,Футболка,83229,2,166458,СПб,Постоянный
2023-11-20,Спорт,Коврик,53280,6,319680,Казань,Постоянный
2023-08-05,Электроника,Смартфон,37887,7,265209,Казань,Постоянный
2023-05-02,Дом и сад,Декор,62196,1,62196,Казань,Новый
2024-09-19,Спорт,Мяч,1941,1,1941,Новосибирск,Новый
2024-04-22,Книги,Детектив,80618,2,161236,Москва,Новый
2024-09-29,Дом и сад,Текстиль,95348,3,286044,Москва,Постоянный
2023-10-23,Электроника,Наушники,92032,10,920320,Екатеринбург,Постоянный
2024-01-21,Одежда,Кроссовки,99760,6,598560,Екатеринбург,Новый
2023-01-04,Одежда,Джинсы,48430,9,435870,Казань,Новый
2023-08-06,Спорт,Коврик,37799,7,264593,СПб,Новый
2023-09-13,Книги,Роман,42544,3,127632,Новосибирск,Новый
2024-05-11,Электроника,Смартфон,28200,9,253800,Екатеринбург,Новый
2024-03-09,Спорт,Коврик,14096,8,112768,Новосибирск,Новый
2024-02-14,Одежда,Куртка,8060,4,32240,Новосибирск,Новый
2024-09-19,Дом и сад,Посуда,9404,7,65828,Екатеринбург,Постоянный
2024-12-10,Дом и сад,Текстиль,63579,5,317895,Казань,Новый
2023-04-02,Электроника,Смартфон,59373,10,593730,Москва,Постоянный
2023-11-25,Электроника,Смартфон,13395,7,93765,Казань,Постоянный
2024-12-02,Книги,Детектив,92455,10,924550,СПб,Постоянный
2024-08-18,Спорт,Форма,54315,8,434520,Москва,Постоянный
2023-08-14,Книги,Детектив,65756,4,263024,Екатеринбург,Постоянный
2024-10-21,Одежда,Кроссовки,25557,4,102228,Москва,Новый
2023-10-13,Спорт,Велосипед,84542,8,676336,СПб,Постоянный
2023-01-02,Книги,Фантастика,8932,1,8932,Казань,Постоянный
2024-04-06,Книги,Детектив,52882,8,423056,Казань,Постоянный
2024-11-16,Одежда,Куртка,71765,9,645885,СПб,Постоянный
2023-12-22,Электроника,Смартфон,3483,2,6966,СПб,Новый
2023-11-27,Электроника,Умные часы,13842,1,13842,Казань,Новый
2024-04-01,Электроника,Умные часы,38779,6,232674,Екатеринбург,Постоянный
2024-08-30,Одежда,Платье,67660,4,270640,Новосибирск,Новый
2024-12-14,Спорт,Гантели,39722,6,238332,Москва,Новый
2024-07-16,Дом и сад,Мебель,59910,10,599100,Екатеринбург,Постоянный
2024-10-04,Спорт,Гантели,21366,4,85464,Москва,Постоянный
2023-02-10,Книги,Фантастика,61646,9,554814,Екатеринбург,Постоянный
2023-03-05,Книги,Роман,96901,7,678307,СПб,Постоянный
2023-05-26,Книги,Биография,85953,5,429765,Москва,Постоянный
2023-12-14,Дом и сад,Декор,55429,6,332574,Москва,Постоянный
2023-12-14,Одежда,Футболка,56334,8,450672,Новосибирск,Постоянный
2023-07-16,Электроника,Наушники,23741,8,189928,Новосибирск,Постоянный
2024-11-06,Электроника,Наушники,1858,7,13006,СПб,Постоянный
2024-09-17,Одежда,Футболка,56959,3,170877,Екатеринбург,Постоянный
2024-03-13,Электроника,Ноутбук,43791,3,131373,Екатеринбург,Постоянный
2023-03-12,Книги,Детектив,86241,5,431205,Новосибирск,Постоянный
2024-05-21,Электроника,Умные часы,43502,5,217510,Казань,Новый
2024-08-23,Дом и сад,Инструменты,36767,1,36767,Москва,Новый
2023-09-19,Спорт,Коврик,26674,2,53348,Казань,Новый
2024-12-04,Спорт,Коврик,45294,2,90588,Новосибирск,Постоянный
2024-05-31,Электроника,Наушники,3377,2,6754,Новосибирск,Постоянный
2024-01-30,Спорт,Форма,97676,3,293028,Екатеринбург,Постоянный
2023-08-10,Спорт,Велосипед,26612,9,239508,Казань,Постоянный
2023-02-26,Электроника,Наушники,41970,4,167880,Москва,Постоянный
2023-06-29,Спорт,Форма,96311,7,674177,Москва,Новый
2023-07-23,Книги,Биография,11444,8,91552,Новосибирск,Постоянный
2023-07-07,Книги,Учебник,22830,6,136980,Екатеринбург,Постоянный
2024-11-04,Книги,Биография,83501,8,668008,Новосибирск,Новый
2024-03-07,Электроника,Умные часы,70575,7,494025,Екатеринбург,Постоянный
2024-03-06,Книги,Фантастика,96454,6,578724,СПб,Новый
2023-05-01,Дом и сад,Текстиль,71824,7,502768,Казань,Постоянный
2023-07-27,Спорт,Коврик,39626,3,118878,Екатеринбург,Постоянный
2023-11-29,Одежда,Куртка,21259,9,191331,Новосибирск,Новый
2024-09-01,Одежда,Джинсы,60360,9,543240,Москва,Постоянный
2024-08-20,Электроника,Ноутбук,88423,8,707384,Казань,Новый
2023-09-22,Книги,Учебник,95147,10,951470,Москва,Новый
2023-08-15,Дом и сад,Текстиль,57043,4,228172,Москва,Новый
2023-07-30,Книги,Биография,14413,3,43239,СПб,Постоянный
2023-05-13,Спорт,Мяч,81601,6,489606,Москва,Постоянный
2024-06-28,Электроника,Планшет,46898,5,234490,СПб,Новый
2024-07-05,Одежда,Платье,85421,10,854210,СПб,Постоянный
2024-12-16,Одежда,Джинсы,48927,3,146781,Новосибирск,Новый
2023-04-21,Электроника,Наушники,71073,10,710730,Казань,Новый
2024-12-31,Электроника,Смартфон,29129,4,116516,Москва,Постоянный
2024-04-30,Одежда,Платье,794,1,794,СПб,Новый
